1254078,Ahmedabad,2021-04-26,2021,21,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,Wickets,5,NA,EJG Morgan,PR Reiffel,YC Barde
1254077,Chennai,2021-04-25,2021,20,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,Delhi Capitals,SuperOver,NA,NA,PP Shaw,CB Gaffaney,KN Ananthapadmanabhan
1254076,Mumbai,2021-04-25,2021,19,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Chennai Super Kings,Runs,69,NA,RA Jadeja,AK Chaudhary,VK Sharma
1254075,Mumbai,2021-04-24,2021,18,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,Wickets,6,NA,CH Morris,Navdeep Singh,S Ravi
1254074,Chennai,2021-04-23,2021,17,Mumbai Indians,Punjab Kings,Punjab Kings,field,Punjab Kings,Wickets,9,NA,KL Rahul,C Shamshuddin,Nitin Menon
1254073,Mumbai,2021-04-22,2021,16,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Wickets,10,NA,D Padikkal,J Madanagopal,S Ravi
1254072,Mumbai,2021-04-21,2021,15,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Chennai Super Kings,Runs,18,NA,F du Plessis,AY Dandekar,PR Reiffel
1254071,Chennai,2021-04-21,2021,14,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,bat,Sunrisers Hyderabad,Wickets,9,NA,JM Bairstow,K Srinivasan,Nitin Menon
1254070,Chennai,2021-04-20,2021,13,Mumbai Indians,Delhi Capitals,Mumbai Indians,bat,Delhi Capitals,Wickets,6,NA,A Mishra,C Shamshuddin,CB Gaffaney
1254069,Mumbai,2021-04-19,2021,12,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings,Runs,45,NA,MM Ali,PR Reiffel,VK Sharma
1254068,Mumbai,2021-04-18,2021,11,Punjab Kings,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,Wickets,6,NA,S Dhawan,AK Chaudhary,PR Reiffel
1254067,Chennai,2021-04-18,2021,10,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Runs,38,NA,AB de Villiers,C Shamshuddin,Nitin Menon
1254066,Chennai,2021-04-17,2021,9,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Mumbai Indians,Runs,13,NA,KA Pollard,CB Gaffaney,K Srinivasan
